Category,precision,recall,f1-score,support
Insufficient_Weight,0.9105367793240556,0.9271255060728745,0.9187562688064193,494.0
Normal_Weight,0.8595317725752508,0.8711864406779661,0.8653198653198653,590.0
Obesity_Type_I,0.8970331588132635,0.8970331588132635,0.8970331588132635,573.0
Obesity_Type_II,0.9770992366412213,0.9682299546142209,0.9726443768996961,661.0
Obesity_Type_III,0.9986072423398329,0.9972183588317107,0.9979123173277662,719.0
Overweight_Level_I,0.822680412371134,0.7777777777777778,0.7995991983967936,513.0
Overweight_Level_II,0.8214285714285714,0.8487084870848709,0.8348457350272233,542.0
accuracy,0.9046920821114369,0.9046920821114369,0.9046920821114369,0.9046920821114369
macro avg,0.8981310247847613,0.898182811981812,0.8980158457987183,4092.0
weighted avg,0.9047017240294102,0.9046920821114369,0.9045703772680266,4092.0
